GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201602150041,2016-02-15,"Iraq","Ramadi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,Unknown,Police,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602090002,2016-02-09,"Syria","Damascus","Islamic State of Iraq and the Levant (ISIL)",0,,,,,9,20,Police,Private Citizens & Property,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602060008,2016-02-06,"Iraq","Albu Shejel","Islamic State of Iraq and the Levant (ISIL)",0,,,,,4,0,Unknown,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
201602050053,2016-02-05,"Iraq","Tikrit district","Islamic State of Iraq and the Levant (ISIL)",0,,,,,6,10,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602050013,2016-02-05,"Iraq","Kadila","Islamic State of Iraq and the Levant (ISIL)",0,,,,,7,10,Terrorists/Non-state Militia,Military,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
201602020019,2016-02-02,"Iraq","Tharthar","Islamic State of Iraq and the Levant (ISIL)",0,,,,,0,0,Terrorists/Non-state Militia,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201602010015,2016-02-01,"Iraq","Unknown","Islamic State of Iraq and the Levant (ISIL)",0,,,,,29,19,Military,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,Armed Assault,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,Firearms,
201601310015,2016-01-31,"Syria","Sayyidah Zaynab","Islamic State of Iraq and the Levant (ISIL)",0,,,,,37,50,Private Citizens & Property,Terrorists/Non-state Militia,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601290001,2016-01-29,"Saudi Arabia","Mahasen","Islamic State of Iraq and the Levant (ISIL)",0,,,,,5,34,Religious Figures/Institutions,,,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201601270032,2016-01-27,"Iraq","Al-Baghdadi","Islamic State of Iraq and the Levant (ISIL)",0,,,,,16,10,Police,Terrorists/Non-state Militia,Private Citizens & Property,Middle East & North Africa,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Unknown,,
